Receiver time, Accel X,Y,Z, Gyro X,Y,Z, Quaternion W,X,Y,Z, dt(or)index
1418450560118,-565,-522,-1741,-2,3,0,-219320098,-608885059,856347197,27361733,24251
1418450560118,-570,-527,-1735,-3,3,-1,-219336452,-608883711,856343935,27362709,24256
1418450560123,-584,-522,-1731,-4,3,-2,-219355413,-608883935,856338791,27366720,24261
1418450560123,-580,-527,-1733,-3,2,-2,-219371620,-608884280,856334334,27368605,24266
1418450560125,-577,-520,-1741,-4,3,-3,-219391504,-608886533,856327513,27372496,24272
1418450560125,-574,-528,-1737,-4,1,-2,-219405784,-608886438,856323730,27378523,24277
1418450560129,-580,-525,-1740,-5,1,-2,-219422107,-608885856,856319663,27387850,24282
1418450560129,-573,-526,-1738,-7,0,-2,-219439597,-608883888,856316108,27402616,24287
1418450560160,-578,-529,-1739,-9,0,-2,-219459843,-608880914,856312396,27422544,24292
1418450560160,-581,-525,-1732,-10,-1,-2,-219478399,-608877770,856309188,27444018,24297
1418450560162,-587,-517,-1745,-9,-1,-1,-219495758,-608872791,856307701,27462054,24302
1418450560163,-582,-528,-1733,-8,-1,0,-219510970,-608866000,856308185,27475926,24307
1418450560165,-584,-527,-1731,-3,1,0,-219525073,-608861810,856307452,27478937,24312
1418450560165,-575,-536,-1727,-4,-1,-2,-219534679,-608861968,856304646,27486130,24318
1418450560169,-579,-532,-1734,-2,-2,-1,-219538774,-608861190,856303982,27491344,24323
1418450560169,-570,-531,-1735,-1,-1,-2,-219543225,-608863271,856301323,27492519,24328
1418450560201,-571,-521,-1733,-2,-2,-3,-219546006,-608867191,856297624,27498717,24333
1418450560201,-566,-513,-1730,-4,-2,-2,-219551657,-608867564,856295617,27507849,24338
1418450560203,-572,-515,-1735,-8,-2,-2,-219562973,-608865650,856293503,27525688,24343
1418450560203,-574,-514,-1736,-13,-3,-2,-219580543,-608860637,856291578,27556281,24348
1418450560206,-581,-523,-1729,-14,-5,-1,-219595311,-608852561,856292398,27591554,24353
1418450560206,-572,-521,-1739,-17,-5,-1,-219616487,-608842574,856292697,27634079,24358
1418450560234,-577,-524,-1742,-16,-3,-1,-219639157,-608833579,856292070,27671448,24364
1418450560235,-573,-531,-1731,-16,-5,0,-219657830,-608822072,856294171,27711379,24369
1418450560250,-571,-531,-1733,-15,-6,-1,-219673131,-608813427,856295069,27752259,24374
1418450560250,-567,-527,-1735,-12,-6,-2,-219683208,-608808875,856294593,27786996,24379
1418450560253,-567,-515,-1735,-10,-5,-2,-219691601,-608805649,856293811,27815417,24384
1418450560253,-570,-517,-1738,-9,-6,-3,-219695253,-608805138,856292355,27842577,24389
1418450560255,-578,-523,-1747,-7,-5,-2,-219698270,-608803548,856292049,27862920,24394
1418450560255,-578,-524,-1729,-8,-7,-1,-219699095,-608798840,856294363,27888154,24399
1418450560263,-581,-521,-1726,-11,-5,0,-219710356,-608790142,856296731,27916603,24404
1418450560263,-582,-518,-1736,-12,-5,1,-219723538,-608778467,856300682,27946247,24410
1418450560291,-582,-519,-1738,-11,-5,2,-219734582,-608765113,856306482,27972586,24415
1418450560292,-582,-528,-1736,-10,-5,4,-219744114,-608747799,856315594,27995548,24420
1418450560294,-582,-539,-1730,-7,-3,4,-219754007,-608732432,856323529,28009314,24425
1418450560294,-580,-537,-1736,-4,-1,3,-219764507,-608721282,856328585,28014693,24430
1418450560301,-579,-538,-1732,-1,0,5,-219773587,-608706888,856336554,28012627,24435
1418450560301,-571,-541,-1734,0,2,4,-219781794,-608696027,856342412,28005161,24440
1418450560304,-578,-543,-1731,2,1,2,-219783687,-608691048,856345739,27996782,24445
1418450560304,-572,-531,-1752,5,3,2,-219786190,-608687801,856348017,27978037,24450
1418450560306,-567,-525,-1732,2,3,0,-219791077,-608687557,856347315,27966435,24456
1418450560306,-572,-524,-1747,0,3,1,-219799413,-608683826,856348080,27958705,24461
1418450560309,-567,-510,-1732,-3,1,0,-219811539,-608679925,856347641,27961762,24466
1418450560309,-558,-511,-1741,-4,3,2,-219829375,-608670971,856349427,27961762,24471
1418450560338,-572,-517,-1746,-5,2,4,-219845496,-608657073,856355055,27965176,24476
1418450560338,-567,-521,-1744,-7,1,5,-219864061,-608639380,856362584,27973746,24481
1418450560340,-554,-520,-1739,-11,-2,7,-219880681,-608615279,856374796,27993608,24486
1418450560340,-561,-520,-1740,-11,0,6,-219902393,-608593298,856384178,28013949,24491
1418450560342,-570,-524,-1729,-10,1,5,-219925271,-608574095,856391408,28030461,24496
1418450560342,-570,-533,-1741,-8,-2,6,-219938119,-608553886,856402019,28044222,24502
1418450560351,-572,-535,-1734,-9,-3,4,-219950138,-608537705,856409787,28063860,24507
1418450560351,-577,-531,-1724,-8,-2,4,-219963461,-608522106,856416931,28079686,24512
1418450560383,-576,-538,-1744,-7,-4,4,-219971286,-608506738,856425313,28095783,24517
1418450560383,-579,-534,-1724,-5,-4,3,-219975170,-608495009,856432230,28108531,24522
1418450560386,-583,-532,-1732,-6,-4,2,-219981592,-608484758,856437367,28123660,24527
1418450560386,-576,-530,-1737,-5,-4,2,-219986241,-608475032,856442679,28135973,24532
1418450560388,-581,-527,-1741,-5,-4,2,-219989877,-608465491,856448110,28148553,24537
1418450560388,-573,-523,-1750,-6,-5,1,-219992849,-608457454,856452518,28164940,24542
1418450560390,-573,-529,-1734,-7,-7,0,-219991381,-608451184,856456605,28187549,24548
1418450560391,-576,-528,-1740,-6,-6,0,-219991731,-608445514,856459905,28206936,24553
1418450560413,-578,-532,-1731,-7,-5,-1,-219995827,-608441570,856460987,28227213,24558
1418450560413,-571,-530,-1739,-7,-6,1,-219998664,-608432910,856465717,28248235,24563
1418450560418,-581,-532,-1734,-7,-5,1,-220002625,-608424528,856470006,28267883,24568
1418450560419,-577,-524,-1739,-8,-7,-1,-220004775,-608419712,856472022,28293731,24573
1418450560420,-575,-532,-1733,-8,-5,-2,-220010295,-608417403,856471495,28316383,24578
1418450560421,-565,-526,-1731,-12,-5,-3,-220022835,-608415090,856468815,28349700,24583
1418450560453,-577,-521,-1738,-14,-6,0,-220035358,-608404878,856471598,28387563,24589
1418450560454,-569,-518,-1728,-14,-5,0,-220050596,-608394461,856473927,28422401,24594
1418450560455,-564,-515,-1736,-14,-5,0,-220065392,-608384157,856476277,28457564,24599
1418450560456,-568,-523,-1722,-13,-3,1,-220082162,-608372458,856479313,28486619,24604
1418450560458,-564,-531,-1738,-12,-1,-1,-220103268,-608365925,856477688,28511900,24609
1418450560458,-556,-536,-1737,-8,1,-1,-220123427,-608361543,856475082,28528056,24614
1418450560461,-556,-533,-1751,-6,1,-1,-220139971,-608358551,856472533,28540710,24619
1418450560461,-557,-538,-1741,-2,5,-1,-220158280,-608358274,856468135,28537373,24624
1418450560493,-558,-539,-1742,0,6,0,-220176592,-608356913,856464715,28527750,24629
1418450560493,-558,-537,-1733,2,7,-2,-220189988,-608361863,856458263,28512481,24635
1418450560495,-567,-539,-1737,3,6,-3,-220199713,-608369539,856450826,28497004,24640
1418450560496,-564,-534,-1731,5,6,-3,-220206948,-608378208,856443490,28476501,24645
1418450560498,-569,-529,-1720,6,6,-2,-220212337,-608385190,856437929,28452899,24650
1418450560498,-568,-531,-1716,4,4,-1,-220217154,-608388350,856435015,28435746,24655
1418450560500,-571,-529,-1729,3,5,-2,-220226025,-608393294,856429740,28420138,24660
1418450560500,-571,-521,-1737,3,5,-1,-220234482,-608395952,856426230,28403457,24665
1418450560533,-563,-524,-1722,0,7,1,-220251613,-608392440,856424820,28388378,24670
1418450560533,-575,-525,-1733,-1,5,1,-220269885,-608387803,856423677,28380445,24675
1418450560535,-576,-533,-1734,-1,3,2,-220284287,-608380518,856425350,28374344,24681
1418450560538,-573,-535,-1736,-3,2,3,-220300268,-608369736,856428892,28374549,24686
1418450560538,-575,-534,-1740,-4,5,3,-220324458,-608358691,856430581,28372572,24691
1418450560538,-576,-538,-1736,-5,5,4,-220350257,-608344749,856433865,28372025,24696
1418450560540,-573,-545,-1743,-2,3,3,-220367087,-608334676,856436796,28368810,24701
1418450560540,-573,-539,-1737,0,3,3,-220376596,-608326447,856440445,28361230,24706
1418450560563,-578,-531,-1730,1,2,1,-220381961,-608323219,856441610,28353617,24711
1418450560563,-576,-542,-1728,4,5,1,-220389598,-608321767,856441351,28333207,24716
1418450560565,-565,-541,-1730,7,6,0,-220395187,-608324538,856438839,28306165,24721
1418450560565,-577,-537,-1734,9,8,-2,-220400779,-608333469,856432146,28273178,24727
1418450560569,-569,-540,-1734,9,6,-2,-220402455,-608341960,856426706,28242173,24732
1418450560569,-566,-534,-1725,11,8,-3,-220404835,-608354269,856418581,28204829,24737
1418450560602,-577,-533,-1728,12,7,-3,-220403098,-608367073,856411193,28166520,24742
1418450560602,-579,-519,-1720,14,7,-4,-220398842,-608383080,856402336,28123350,24747
1418450560604,-572,-520,-1718,12,8,-3,-220399869,-608395525,856394618,28081086,24752
1418450560604,-577,-522,-1739,12,7,-2,-220398213,-608405780,856389089,28040481,24757
1418450560606,-575,-513,-1742,12,5,0,-220391704,-608411344,856388081,28001668,24762
1418450560607,-575,-509,-1735,12,6,1,-220386654,-608414713,856388352,27959906,24767
1418450560609,-575,-519,-1743,11,6,1,-220383315,-608417430,856388580,27920093,24773
1418450560609,-576,-521,-1745,8,4,2,-220380595,-608416068,856391204,27890724,24778
1418450560641,-581,-511,-1739,6,4,3,-220381311,-608411253,856395263,27865456,24783
1418450560642,-576,-516,-1746,5,4,4,-220383837,-608403353,856401034,27840593,24788
1418450560644,-578,-518,-1733,4,2,6,-220383088,-608390352,856411103,27820892,24793
1418450560644,-575,-527,-1729,2,1,5,-220384167,-608378271,856419823,27808103,24798
1418450560646,-586,-530,-1730,2,2,7,-220388165,-608361808,856430958,27793647,24803
1418450560647,-579,-525,-1738,4,4,7,-220394628,-608346427,856440959,27770902,24808
1418450560649,-579,-538,-1728,4,4,8,-220399817,-608328953,856452793,27747539,24813
1418450560649,-587,-535,-1736,8,3,7,-220397478,-608316056,856463492,27718607,24819
1418450560684,-584,-532,-1729,11,2,5,-220388001,-608309246,856471863,27684727,24824
1418450560684,-588,-538,-1739,11,2,5,-220378405,-608302449,856480255,27650825,24829
1418450560691,-585,-535,-1719,12,2,6,-220367525,-608293960,856490262,27614312,24834
1418450560692,-593,-537,-1727,12,1,2,-220354584,-608294456,856494285,27581825,24839
1418450560696,-584,-525,-1728,11,2,1,-220345945,-608296588,856496012,27550177,24844
1418450560697,-583,-523,-1728,11,1,2,-220333472,-608296515,856500274,27519035,24849
1418450560699,-577,-525,-1728,12,2,1,-220321374,-608299396,856502450,27484466,24854
1418450560699,-585,-526,-1732,11,1,1,-220308197,-608301775,856505113,27454437,24859
1418450560701,-584,-522,-1739,11,3,2,-220300262,-608301857,856508196,27420098,24865
1418450560702,-584,-527,-1723,15,3,3,-220285238,-608302046,856513345,27375698,24870
1418450560721,-580,-527,-1730,17,3,3,-220268076,-608303346,856518380,27327343,24875
1418450560722,-577,-527,-1733,17,4,3,-220252495,-608304858,856522898,27277631,24880
1418450560724,-581,-524,-1736,18,2,3,-220230318,-608306903,856528693,27229095,24885
1418450560724,-567,-530,-1747,18,2,3,-220208179,-608308850,856534561,27179981,24890
1418450560730,-574,-521,-1744,15,3,2,-220191685,-608311834,856538007,27138219,24895
1418450560730,-576,-521,-1734,13,0,3,-220171882,-608310904,856544843,27103946,24900
1418450560763,-589,-525,-1738,11,1,4,-220158350,-608306485,856552471,27071962,24906
1418450560763,-565,-526,-1729,10,0,3,-220145337,-608303425,856558875,27043924,24911
1418450560765,-578,-520,-1737,8,-2,2,-220127624,-608302448,856564754,27023865,24916
1418450560765,-576,-515,-1735,4,-5,5,-220110189,-608291763,856577118,27014479,24921
1418450560767,-575,-517,-1730,2,-5,3,-220095456,-608284472,856586207,27010497,24926
